target,input
Mortgage,"XXXX sold my loan as of XX/XX/2018 i received a letter middle XXXX stating such, They sold my loan to Specialized Loan Service LLC XXXX this company has not only never sent me any info, ,After many calls to XXXX XXXX i got the new loan number and just mail certified mail, Ive called for 5 days never to chat went on line like XXXX XXXX told to do to XXXX  sight says i dont have a account,, The rules state they suppose to contact me within 15 days of date new service. They did not. The complaints on ; line scare me, and 364.., They should be check out,, When i phone got code and said i have not paid XXXX payment ... I paid XXXX  this payment and have print out to prove this,,, ,XXXX XXXX got my loan XX/XX/2018 But wouild not even take a payment stating my account was not active///// ... Please help me i dont want the company to mess up my go credit,, XXXX XXXX XXXX XXXX XXXX"
Debt collection,"XXXX XXXX contracts multiple family members not listed as references about a debt owed. Violating the FCPA because they knew my obsessing number and address, as I had talked to them just days before they contacted my relatives. they stated the reason they did so was because my voicemail inbox was full."
"Credit reporting, credit repair services, or other personal consumer reports",I have two of the same duplicate accounts reporting on my credit for student loans. One is reporting under XXXX while the other is reporting under XXXX XXXX XXXX XXXX. Mind you I have never attended college in life nor applied for federal student loans.
Student loan,"I refinanced the loans that I had with Discover Student Loans through a new finance company. The loans were scheduled to be paid off right around the same time that my payment was due. I contacted Discover on XX/XX/XXXX @ XXXX EST to inquire if I should make a payment if the payoff was not completed by my due date. I was advised that I should not make a payment because they would have to issue a credit. On XX/XX/XXXX I contacted Discover Student Loans again because the payoffs had not been updated on their system. My refinance company had advised that the payoffs were sent on XX/XX/XXXX. During this call I was immediately advised that I needed to arrange to make a payment. I explained my previous call and inquired if the account was noted with this information to which I was advised that it was not. I was advised that they would make a notation of what I was previously advised. On XX/XX/XXXX I accessed my account online and found that payments had posted but not fully paid off. The amount that I refinanced equaled the total amount owed to Discover Student Loans. I contacted Discover on XX/XX/XXXX @ XXXX EST and was advised that some payments may not have posted as of yet but at this point I was missing {$57000.00} out of a total amount of {$110000.00}. This representative generously went into each loan and provided me the amount of funds that posted from each check. My refinance company sent 5 checks, 1 for each loan but Discover took funds from each check and applied it to each loan. The check # s XXXX {$20000.00}, XXXX {$12000.00}, XXXX {$27000.00}, XXXX {$27000.00}, and XXXX {$26000.00}. Out of all of these funds only {$58000.00} was posted towards my loans. XX/XX/XXXX I contacted Discover again because my account was still in the same status, at this time I advised that this needed to be escalated because my finance company had verified that the checks had cleared on XX/XX/XXXX. I had a conference call with my finance company and Discover in order to have them escalate this situation. I received 2 phone calls back from Discover stating that they needed the check numbers from my finance company in order to submit an escalation. My finance company sent Discover confirmation of payment as well as copies of the cleared checks. This information was electronically sent on XX/XX/XXXX. On XX/XX/XXXX my account was still in the status of owing {$58000.00} now due to interest. My Co-Signor and myself scheduled the day off work in order to attempt to get this resolved. I phoned Discover Student Loans at XXXX EST on XX/XX/XXXX. I requested to speak with a Supervisor- XXXX- who advised that it could take another 5 days until the escalation was reviewed and funds processed. I requested to speak with his supervisor as this was unacceptable. These funds were processed by Discover Student Loans on XX/XX/XXXX and as of XX/XX/XXXX my account was not showing a paid in full status. XXXX supervisor was to contact me back between XXXX EST. I received no call to which I contacted them again at XXXX. This time I spoke with a XXXX who stated that funds were being processed as we were speaking. He stated that the supervisor XXXX was still not available. I requested that XXXX contact me back within the next hour, to which I still did not receive a call. I contacted Discover yet again at XXXX, held for while and was then connected with XXXX XXXX At this time funds had been posted to my loans but I still had a balance of {$7000.00} that I still owed. I was assured that this would be resolved by Monday XX/XX/XXXX. I provided XXXX with the horrific details of my many experiences with his customer care representatives and how I had to demand an escalation, provide them with the proof that they received full payments in order to get resolution. I also advised that when the payoff amounts were provided to my refinance company, I had made an additional payment to Discover before the payoffs were completed and that I should have a possible credit owed back to my finance company. He inquired if I had an amount of a credit that I should have. I advised that I did not ... Their system should be able to determine that. He then stated that he would contact me on XX/XX/XXXX and that he would be able to provide me with a $ amount that he could deposit into my bank account for my inconvenience. I continue to advise Discover that they could contact me between XXXX EST to which they continued to contact me 2 hours later because they are located in Mountain time. The 1st call I received from XXXX on XX/XX/XXXX was at XXXX. He left me a message to contact him back. The 2nd phone call was at XXXX from a XXXX stating that all payments were posted and that he wanted me to authorize for them to deposit {$200.00} into my bank account as restitution. I stated that I did not feel comfortable accepting this payment as I did not feel this issue was resolved. I requested to receive records of how the interest was accrued on my accounts and wanted these documents sent to me. I was advised that they would be mailed. I have yet to receive this information. I also requested to understand how this error occurred with my funds and the explanation that I was provided was that the checks did not have account numbers on them so they did not know where to put this money. This company had record of the exact check numbers that were sent but they did not post the entire amounts of these checks. This is fraud! I need verification that the credit amount of {$400.00} listed on my account is true and accurate and not just a bogus amount. I would not authorize for them to deposit funds into my account as they wanted me to listen to a disclosure of the terms of this restitution. Through my research of my account I have found that my original loans with Discover, the 1st 3 years were all at a variable rate. I am not sure how this happened as myself nor my co-signor would have ever agreed to sign for a loan with a variable rate. I have located copies of the original promissory note that does not disclose an amount, rate or that I am agreeing to a variable rate. I again contacted Discover on XX/XX/XXXX requesting that they send me documentation showing what options I chose when I submitted the application electronically back in XXXX. I was advised at that time that they do not have this information and that the promissory note contains all this information. This representative actually uttered a subtle laugh under her breath at me when I advised that I have a copy of this promissory note that does not contain any of that information. I am to be receiving a copy of the promissory note that they have on hand which I am sure is an exact copy of the document I have."
Mortgage,"XX/XX/XXXX Seterus , Inc . 
XXXX XXXX. XXXX  XXXX XXXX, CT XXXX Re : Loan Number : XXXX Please be advised that I was approved by your company for a Flex Modification on XX/XX/XXXX, and I made the first of three Trial Payments on XX/XX/XXXX. I was incapable of making the second payment because of the following medical reasons : Attached, please find medical records from XXXX XXXX XXXX, XXXX, dated XX/XX/XXXX and XXXX, XXXX, ER admission charts from XXXX  Hospital XXXX, dated XX/XX/XXXX, XXXX  notes from XXXX Hospital XXXX and followup consults with XXXX XXXX, XXXX, who performed the XXXX  on XX/XX/XXXX and XX/XX/XXXX. Please note that XXXX XXXX scheduled the XXXX with XXXX XXXX  for XX/XX/XXXX, 12 days after my first appointment, and that the XXXX XXXX ordered a XXXX  on the spot, recognizing I required XXXX immediately. XXXX XXXX should have admitted me to the ER for a XXXX that very day. As a result, the XXXX became XXXX, and I could have easily cXXXX XXXX and XXXX. 

I admitted myself to the ER on XX/XX/XXXX because I could not swollow, and I was spitting out a XXXX from the XXXX that looked like black dirt. Neither XXXX Hospital XXXX nor XXXX Hospital XXXX XXXX had qualified XXXX to treat me, so XXXX XXXX was sent my ER records and XXXX XXXX and I was XXXX to XXXX that evening ( XX/XX/XXXX XXXX and was XXXX on the next morning. Please note that I was in the hospital continuously until being discharged on XX/XX/XXXX, and was subjected to the worst nursing care one could imagine. I lost 24 pounds because of the clear diet and was on a XXXX XXXX until the day before discharge. I was also on XXXX every four hours around the clock the entire hospitalization. I had NO MEANS of making the second Trial Payment, no ability to even write a check or make a telephonecall. ( I had no check book and was virtually unable to talk because of the XXXX ). After being discharged, it took me a month to gain XXXX XXXX XXXX to even XXXX, and two months to gain my strength to even XXXX. 

I have enclosed a copy of my XXXX checking account dated XX/XX/XXXX XX/XX/XXXX, indicating an ending balance of {$1200.00}, which were adequate funds to cover the second Trial Payment. Again, I was INCAPABLE of making this payment, as cited above. 

I was then diagnosed with XXXX XXXX XXXX XXXX in XX/XX/XXXX. Fortunately, the XXXX has not XXXX ( spread ) beyond the XXXX, due to a new medication prescribed by XXXX XXXX XXXX XXXX, at the XXXX XXXX in XXXX, FL. 

I was cleared by my medical team to work, and I secured a job as a XXXX with XXXX XXXX XXXX, XXXX, FL on XX/XX/XXXX. 

Enclosed with the above data, are current bank statements and deposit checks from my employer dated XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX and XX/XX/XXXX. I have also enclosed a new Mortgage Assistance Application, dated XX/XX/XXXX. 

I respectfully request that I be approved for a Loan Modification. I wish to stay in my home, in which I have resided for 20 years. 


Sincerely, XXXX XXXX XXXX cc : XXXX XXXX Corporate Representative, Seterus , Inc . 

XXXX XXXX Attorney at Law, XXXX XXXX TO : CFPB Please be advised that the XXXX XXXX XXXX XXXX in Washington, D.C. has copies of all the above cited exhibits. My contact there is Ms. XXXX, XXXX, Option XXXX, Ext. XXXX"
Mortgage,"I have been working with my loan servicer for well over a year with a mortgage I have been struggling to pay on a property that since the XX/XX/XXXX financial crisis is no longer worth what I owe on it. I have had a signed purchase agreement since XX/XX/XXXX for a short sale - not as much as what is owed, but a cash offer at current market value. Whether intentional or not, the process of trying to work with my loan servicer has been hindered by vague and ambiguous communications, mixed messages, and constantly changing demands from them. I have done and provided all that they have asked of me, yet to date they still have not rendered a decision on the purchase agreement that is now over a year old, nor have they offered any alternative resolution, or any relief whatsoever. I had wanted to include my request for assistance and accompanying documentation but that was 74 pages, and over the 10mb limit for attachments, but I am including a letter from my loan servicer acknowledging receipt of this information. I am also including a recent email from the title company who is working on the short sale, as well as a XX/XX/XXXX letter from my loan servicer notifying me that the status and my request had changed, but neglecting to disclose what the change was, why it had occurred, or what I needed to do about it. My attempts to resolve this issue were again met with mixed messages and changing demands before it was finally resolved. A letter with complete information would have clarified the issue and facilitated a much speedier resolution."
Student loan,"I have had several problems with XXXX XXXX. Every year I have to submit my employment verification form several times in order to get it processed, even though I serve in the XXXX. I have also had trouble with deferment issues. I am currently enrolled in a Master 's program part-time and every semester XXXX automatically puts my account in deferment. I call and submit the deferment waiver form to be taken out of deferment because I am in the PSLF program and every month I am in deferment is a month that does not count towards PSLF. Every time I call and submit another deferment waiver form I get told that it takes time to process and that it will all be sorted out, but this seems to be a pattern with XXXX and I can not figure out why I keep getting put in automatic deferment when I have specifically requested to not be placed in deferment. Additionally, when I applied for PSLF, all of my loan where transferred from XXXX to XXXX. During this period I was unable to access my account to ensure my payments where being processed. I made several calls and every time I was told not to worry I would have access to my account "" soon ''. By the time I got access XXXX informed that my loans where past due because I failed to pay on time. Then a year later they tell me because I had a late payment that my forbearance funds were being nullified and the interest was being added to my account. This only amounted to around 150 additional dollars but its about principal. This company has failed me and other customers at every turn. Furthermore, they seem to not care about the effect that their malfeasance has on borrowers. In fact, I seldom receive customer care that is not rude even borderline hostile when I call about my account. Including today XXXX XX/XX/XXXX, after waiting no less than 20 minutes on hold I was greet by XXXX, employee number XXXX, who could not have been more rude and insensitive about the fact that my account was being placed back in deferment and I was having to take time out of my duty day to attempt to correct this action again. I want to know when XXXX will be held accountable for their deceptive practices relating to deferment and public student loan forgiveness."
"Money transfer, virtual currency, or money service","I was purchasing XXXX 's XXXX tickets from a person on XXXX. I was on the phone with him and he fraudulent told me he would place the tickets in my XXXX account, he never followed thru with the tickets and I paid them thru XXXX. I am upset because I contacted Wells Fargo thru email/phone to follow up on their end since the transfer deposited it in a Wells Fargo Account. Wells Fargo was unable to give me any information for this person. I wanted to follow up with my local police since fraud was the intent. I can not believe in this day and age that we can not trace this transaction. I have been a Wells Fargo customer for over 25 years and I am extremely upset that this fraud happened to me. I am looking for reimbursement of {$320.00}, because I believe that Wells Fargo should stand by their customers to help that this matter does not happen over and over again to other devoted customers. I followed up with XXXX thru email and only got a response that someone would contact me, and they never called me. I can not believe that this can happen thru XXXX with no repercussions for the person being fraudulent. Please help me in this serious matter. 

____________________________________________________________ XX/XX/XXXX TRANSFER TO XXXX ON XX/XX/XXXX REF # XXXX {$320.00} Details Category : Other Outgoing Transfers ____New recipient added You added XXXX as a new XXXX recipient and can now send them money or requests for money. The email address, XXXX, will be used to notify this recipient of any money or requests you send them. 
To receive money or requests, XXXX must be enrolled in XXXX and have added this email address to their profile settings. 

Transactions typically occur in minutes between registered XXXX users. If your recipient is not yet registered with XXXX, the payment is typically delivered within minutes after the recipient completes registration. 

XXXX and the XXXX related marks are wholly owned by XXXX XXXX XXXX XXXX XXXX and are used herein under license. 
XXXX XXXX XXXX XXXX All Rights Reserved XXXX Dear XXXX XXXX XXXX Thank you for contacting XXXX XXXX Support. 
We will get back to you within 2 business days. 
For future reference your case number is : XXXX Regards, XXXX Consumer Support XXXX XXXX XXXX XXXX XXXX XXXX. All rights reserved"
Debt collection,"When I started working on my credit in XX/XX/XXXX I had a debt listed on my report from a company called XXXX for a XXXX bill in the amount of XXXX. I disputed this debt as it did not belong to me and was listed under a name I had never gone by, XXXX XXXX ( my maiden last name is XXXX ). XXXX was unable to verify this debt and it was eventually removed from my credit report. on XX/XX/XXXX I received a credit notification that I had a collection added to my report. The debt was from XXXX XXXX XXXX for this XXXX  bill that I mentioned above. The issue here is 1 ) I never received anything in writing from XXXX XXXX regarding this debt, therefore I was not given the chance to request validation or dispute this debt. 2 ) I was not notified by either XXXX  or XXXX regarding this debt being reinserted into my credit file, therefore it was illegally reinserted. I disputed this debt with XXXX  and XXXX already and both came back verified as accurate. This debt does not belong to me."
"Credit reporting, credit repair services, or other personal consumer reports","I have attached a copy of the Consumer Financial Protection Bureau order of 2015 pertaining to the collection process on medical debts. This federal agency has levied millions in penalties against several medical collection agencies for abusive collection practices since the 2015 mandate that consumers must be granted 180 days-notice that any or all medical debts can not be posted against a consumers credit report. What this entails is that I as an American consumer needs time to either settle a medical collection before said collection gets posted on my credit report, or that my medical insurance carrier had enough time to resolve the collection either in full or by any sustained factoring agreement in place with the medical servicer, be it a physician, clinic, ambulance service or hospital. That has not been the case in the attached medical collection ( s ) posted on Experian, XXXX and XXXX XXXX respectfully. Since the 2015 agreement between the Consumer Financial Protection Bureau and all three credit reporting agencies, medical collection agencies have violated this agreement in its entirety. Having established that there is a specified procedure in place on medical collection postings on a consumers credit, it is a fact that most if not all medical collectors are in violation of their subscriber agreement with the major credit reporting agencies. Since my rights have already been violated by the collection agency stated in this complaint, the collection should be VOID completely. I am not disputing any factual conclusion if I was even given medical attention, just stating that my personal credit history has been damaged by an unlawful collection practice. I should be entitled to damages for the overall cost involved with what would otherwise be a perfect credit history. Accordingly, I respectfully request for the disputed medical collection ( s ) to be deleted permanently, and if this particular collection agencies needs a remedy for collection, it has abused the credit reporting system by violating my rights. In my opinion the only recourse at this time would be moving forward through other collection processes outside of the Fair Credit Reporting Act. The disputed collection must be deleted permanently, and the Consumer Financial Protection Bureau must sanction and fine the agency for its abusive actions. The credit reporting agencies should also terminate the subscriber agreement if place. My dispute is based on material facts and current policies on medical collections. The attached disputed collection ( s ) should be deleted permanently without any right to reinsert from this point forward."
"Credit reporting, credit repair services, or other personal consumer reports","Under the service members relief act, I had 1 year to get with the department of education to setup payment arrangements for my student loan debt. I was XXXX XXXX until XX/XX/2015. Not to mention this account was established before I ever even finished the program that it was paying for to the credit bureaus as late and is over 11 years old. So it shouldn't be on my report to begin with. I have tried and tried to be get XXXX and Experian to fix this issue to no avail. So I disputed it to Experian, and requested that they reinvestigate but due to language and comprehension barriers, they don't understand exactly what I am trying to get them to do. I have tried disputing with your choice of the three reasons to no avail. Uploaded documentation still nothing. They could pick any of the three and remove but refuse"
Student loan,"I have been trying for the past two years to get these loans forgiven because XXXX scammed me. The loan I have has been very unhelpful with me to the point where Ive had to hire a lawyer to help me get some things done. The loan company has also pretend to help me by giving me fake phone numbers and having me call a number that has nothing to do with what I need. 

I also have no degree because of this and can not get a job in my field. XXXX claims and told XXXX  that I graduated but there is no proof. The company that took over XXXX transcripts has no degree for me."
"Credit reporting, credit repair services, or other personal consumer reports","I reached out to you all for help with items on my credit that are not mine. When I took a look at my report again there are still items that are not mine. I'm really trying to help my child with school and this is hurting me.XXXX, XXXX, XXXX XXXX XXXX XXXX XXXX, XXXX, XXXX, XXXX XXXX XXXX XXXX XXXX XXXX XXXX  , XXXX, XXXX XXXX XXXX , XXXX , XXXX , XXXX XXXX, XXXX, XXXX XXXX XXXX XXXX XXXX ."
Mortgage,"Lender : Webster Bank in Connecticut ( XXXX, their public number ) On XX/XX/XXXX, I was charged a late fee of {$46.00} for a required payment of {$29.00} that was due on XX/XX/XXXX. 

I feel that this action by the Bank is unfair and deceptive. 

I asked the bank to kindly waive the fee. They refused. 

This is a variable loan, so I have been making a recurring payment of {$900.00} for the past several months, an amount that exceeded the minimum payment amount. The loan repriced in XXXX, which I wasn't tracking. 

As a result, the {$900.00} that the Bank received on XX/XX/XXXX was {$29.00} short of the minimum amount due. Immediately upon receipt of banks past due notice on XX/XX/XXXX, I called the Bank and brought the account current that day with a transfer of {$29.00} from the linked DDA account at the Bank. 

The late fee of {$46.00} is 5 % of the minimum amount owed which was {$920.00}. 

I feel the Bank 's charge is unfair, at I think it is unfair to charge {$46.00} on a short-payment of {$29.00}. As I brought the loan current on XX/XX/XXXX, I believe this amounts to a 5700 % interest rate on the amount owed of {$29.00}. I think a reasonable person would regard this practice as unfair. 

I think it is deceptive, because a condition of the loan is that I am required to maintain a linked non-interest bearing checking account and grant to the Bank a right of offset for the outstanding payment on the load. The linked checking account had a balance exceeding the {$29.00} that was owed. 

I think it's deceptive to require a linked checking account, ask for a right of offset, and then choose to charge a late fee of {$46.00} when the only reason to require the right of offset is to make the transfer from the DDA when required."
"Money transfer, virtual currency, or money service",I reported an international wire fraud scam to the bank relating to a vacation property that we were trying to rent. The person had us wire {$5800.00} to their account and we were later noticed that they did not own the property. I contact Chase to stop the wire at which time the bank told me they request the funds back from the other bank. There was no correspondence from Chase at all regarding this case. It took me calling them repeatedly to track down the right department to give me information regarding the case. When I finally spoke with the right person after contact them for 2 weeks I was told there was nothing they could do because it was my word against theirs. Their lack of timely processing of the wire cancel and unhelpful nature has left me with no options to get my funds back. I find this ridiculous that when fraud is reported they have no obligation to assist their customers in getting their funds back. I am truly disappointed with the level of service and lack of commitment in resolving this issue.
Credit card or prepaid card,bank america closed out the wrong account when changing my sole prop to a LLC which caused 3 to 5 return checks XXXX  was a company that took one of the checks they closed my account b/c of bank of America error Now XXXX refuse to reopen the account Can you tell me how is this fair?
Vehicle loan or lease,Working with Capital One Auto Finance on a loan and when I fell behind they sent in repossessed and recovered the vehicle XX/XX/2014. Vehicle was sold without my knowledge and I didn't receive anything about sale of vehicle. XXXX and XXXX are still showing this account of report.
Debt collection,"Hello, I have received my first notice about the debt collection. I responded to the letter by making a {$300.00} payment immediately. I followed with another payment of {$200.00}. Then another payment of {$200.00}. I was left with a {$500.00} balance out of {$1100.00}. When I received a notice for it, I immediately paid {$250.00} over the website. And for the remaining balance, I called the collection agency to pay over the phone. I was never notified may account was reported and when I found out I requested my report to be removed and deleted from my credit report because it damaged my credit tremendously by a negative of 100 FICO score. I was told they do not report to the credit bureaus, it is on a regular schedule. I asked do you guys report start or end of the month? I was not given a definite answer. After payment my balance I did not feel reassured my collections account would be deleted on my credit report. Now here I am with a paid off balance. The collection account was reported on XX/XX/XXXX, instead of XX/XX/XXXX when it was originatelly dated. I want this account removed from my credit report. If they are unsuccessful, I will dispute a fraud chargeback with my bank account immediately, which was used to pay for the XXXX"
"Money transfer, virtual currency, or money service","On XX/XX/2018 l walked into the XXXX XXXX store located at XXXX XXXX XXXX and went to the customer service desk. l sent money to XXXX in XXXX, XXXX, using the Western Union service, to my sister in law. That money supposed to be used for expenses at the hospital for the XXXX of my mother in law. The amount sent was XXXX U.S. dollars. 
Unfortunately the money never was received by my sister in law, who was in charge of receiving the money on the same date mentioned above at XXXX XXXX. After 25 minutes, the money was processing but my sister in law never received the money. She called me and said that she never got that money and that they just told her to check the tracking number and come back the next day. When she did they told her "" Sorry but this number does not exist in our system. '' I walked into XXXX XXXX store again to explain the issue. They tried to call Western Union but they never answered. I  told the person who was attending me that I was calling Western Union customer service for almost the whole day and nobody answered me as well. It is unfair that no one answered for the entire day. That's why l called the Consumer Financial Protection Bureau. Thanks to the person who answered me and told me what to do in order to receive my money back."
Debt collection,"After I tell them there going to receive their money on theXX/XX/XXXX. I continue to receive phone calls daily after I have spoken to someone the day before, It not like I'm three months late."
"Money transfer, virtual currency, or money service","please help ... 
paypal will not give me my money back, i have been on hold for days waiting for someone to get back to me since last last week straight after we spoke i called & spoke with a female agent there at paypal that assured me that these would be taken care of & posted back to my card by XX/XX/XXXX, and so here i is XX/XX/XXXX & i'm calling back and no one there knows what i'm talking about & so after about a half hour or so of giving them evidence and going back & forth with them & finally convincing the agent, she says she has to transfer me the another department ... and thus i wait on hold seriously for 3 hours & counting i just got out of the hospital the other day & had some XXXX XXXX & complications not only is sitting here having to spend my time like this not my cup of tea, but just not very comfortable at all and i'm in alot of pain. 
this is not at all how i expected this to go ... 
i thought it would just be a quick confirmation & things would be taken care of, but this is & this has been absolutely ridiculous & the worst customer service ever. 

please read & try & understand the issues here, my account has been unfairly limited & your holding on to my money that needs to be returned to me. 

your agent assured me that it would be returned to my funding source by XX/XX/XXXX & here it is XX/XX/XXXX & i can't even get anybody to talk to me. 

i spend all day on hold everyday & just being transferred around to different departments telling my story over & over were everybody just pretends like they just don't know what i'm talking about at all or just end up telling me that thats not there department & there's nothing they can do for me & transferring me again where i spend another 6 hours on hold until i get disconnected or my phone dies & this is just absolutely ridiculous & beyond absurd. 
i have 100 % positive feedback on ebay & have always been a good customer & this is a big huge mix up & misunderstanding & has just gone on for far to long & is costing me alot of business & you as well, but the bottom line is i dont care weather you want or value my business anymore or not because i really can't say i like the way you all have treated me one bit, but what i can say is that you do have to give me my money back & are obligated to do that. 

now enough is enough, please stop playing these childish games with me ... 
i'm not here to rip anybody off or rob any banks or do any such foolishness & i have always been a good customer, this is just a big misunderstanding & a big mix up & if you were in my shoes & a customer as well you would understand but all your seeing is numbers read by some computer, not situations or realities or any kind of validities as i have done nothing wrong here, but use your buyer protection on legitimate cases. 
and as you can see perfectly well on ebay i have 100 % positive feedback as a buyer & seller for years now & am not here to scam anybody, but whatever, it is what it is ... 
you can choose to take a look at it or not, its up to you, you can see it how ever you want to ... 
but the bottom line is you & your agents can't keep lying to me & holding on to my money the way you have been as there is no reason in the world for telling someone that there money will be in there account by XX/XX/XXXX, and then i call you back on XX/XX/XXXX because it's not & you wan na act like you dont know what the heck i'm talking about & then after i have to jump through a million hoops & finally prove it to your agent, then she wants to tell me that because my account is limited, my money can not be accessed & will not be returned. 

what kind of monkey business is this??? 

just return my money to the same funding source in which it came, simple as that, thank you very much. 
its the same as you did for the same sell with the other group of transactions, look there is no reason in the world for this or for this to have happened at all. i was refunded by ebay for like XXXX transactions or so from the sames seller XXXX and they all posted back to my account like straight away accept for these two that your holding on to, and i need you to please release them back to my funding source as your original agent promised me they would be by XX/XX/XXXX & Now its all this non sense. 

1. PayPal transaction ID XXXX : Completed on XX/XX/XXXX in the amount of XXXX AUD. 

2. PayPal transaction ID XXXX : Completed on XX/XX/XXXX in the amount of XXXX AUS. 


{$17.00} XX/XX/XXXX cell.expert Please Return & Refund My Money ...

Thank You. 

Re : Item : XXXX Return Update SR # XXXX XXXX / Sent XXXX XXXX To : XXXX XX/XX/XXXX at XXXX XXXX  XXXX Item : XXXX Return Update SR # XXXX Hello XXXX, I hope your XXXX went well and you are on the road to recovery. 

I am writing to you in relation to the return you opened for the item : 'Men 's Red Ripped Jeans Pants Biker Classic Skinny Slim Straight Denim Trousers ' that you bought from the seller : XXXX. 

I reached out to the seller to try and have this matter resolved before your XXXX but unfortunately they were unable to do so. So I contacted our cases team today, because the seller is based in XXXX they have placed the case on hold and given the seller 5 days to finally organize a returns label for you or for a courier to collect the item. If they have not resolved this after the 5 days we will be closing the case in your favor and issuing you with a full refund. 

I will continue to monitor this and make sure that it doesn't cause any more inconvenience or stress especially with you recovering. 

Thank you for your time and cooperation XXXX, I will be in touch again over the next week. 

Regards, XXXX XXXX Concierge - My XXXX Account Has Been Wrongfully Limited & Suspended Due to Being Wrongly Accused of Excessive Claims, But Instead of Seeing Me as a Statistic & Always  Trying to Hold onto My Money, What They Need to Do is Look at Me as a Person & a Customer, as I Have 100 % Positive Feedback on XXXX as a Buyer & a Seller & Do Alot of Transactions & That Being Said, There Are Going to Be Some Bad Apples, and They Need to Look at Both Sides of the Coin & Each Case Individually as I Am Not Just a Number, Look I Had 18 Items Undelivered I Oped Up Claim Cases for, They Said That Was a Red Flag in There System as too Many Claims at One Time & I Had Already Supposedly Been Sent Warnings About Excessive Claims, But When They Pride Them Selves on Having Such Great Buyer Protection then There is No Reason in the World that I Should Be in the Predicament that I'm In. And There is No Appeal System at All or Anything, No One Will Even Listen, I Just Keep Getting All These Automated E-mails Back Saying That Your Appeal Has Been Denied, What Appeal ... No One Will Even Talk to Me, Listen or Even Read or Look at One Piece of Evidence or Information That I Have Sent Them, They Just Keep Telling Me That Once a Decision to Limit Your Account Has Been Made That It is Final. But This is Crazy, Because the Decision is Unfair & Unjust & Totally Uncalled for & My Claims & Have All Been Legitimate & Even Granted & Approved By Paypal, And Speaking to Agents They Have Even Told Me They Understood & Would Have Done the Same Thing in My Place But That There Was Nothing That They Could Do, That Was Just There Policy, I Mean What the Heck, Anybody is Gon na Wan na Try & Get There Money Back & as Soon as Possible & Nobody Likes to Get Ripped Off, Thats Not Abusing the System Not One Bit & All I Want is a Fare & Proper Appeal. I Didn't Do Anything Wrong Here & I Don't Know What They Are So Afraid Of??? 
I Am Not a Criminal, I Am a XXXX Person with a Limited Income who Just Wanted My Money Back as Soon as Possible So That I Could Move On & Do Other Business & Just Didn't Wan na Get Ripped Off, I Was Only Trying to Cover My Own Back, They Say They Offer Buyer Protection & Now Its Just Turned Into Persecution!!! 
AND THERE HOLDING ONTO MY MONEY WITH NO RIGHT TO DO SO AS WELL. 

PayPal appeal denied XXXX / XXXX XXXX To : XXXX XX/XX/XXXX at XXXX XXXX Hello XXXX XXXX, For the safety and security of the PayPal network, we often review accounts for potential risks. After reviewing your account, we have decided to close it because of security issues. 

We are making every effort to minimize any disruption to your business. 

If your PayPal account balance is XXXX, and you have no unresolved buyer complaints or chargebacks, your account will remain limited. 

Your account has been limited for excessive claims -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- Dear XXXX XXXX, We've limited your account because of the excessive number of claims you're involved in. 

We recently emailed you about this issue. Our records now show that since emailing you, you've continued to be involved in an excessive number of claims. This is considered abuse of our Buyer Complaint process and violates the PayPal User Agreement. 

As a result of this limitation, you can't send or receive funds. Log in to your PayPal account and go to the Resolution Center for more information. 

Sincerely, PayPal *** WHAT ARE THEY AFRAID OF, WHY WON'T THEY EVEN LISTEN??? 

- Also, Understand That Basically the Only Way to Contact Paypal is Through Their Website & All Messages Are Deleted After 60 Days So I Am Supping You With Most of Everything I Have I Do Have Alot More But It's In Text Form, I Went to Take Screen Shots from Their Web Site & EVERYTHING is Gone!!! 

It Seems I Have Used Up Most All of the Space Here for Text, So if Additional Information is Still Needed PLEASE Do Contact Me as I Have More, But I Could Not Fit It & I Have Provided You With as Many Screen Shots as I Could Gather Today But Please Do Not Hesitate if Anything Else Specific is Needed, as These People & There Game Playing with Peoples Accounts & Money Must Stop, Their Agent Already Lied to Me About When My Money Would Be Returned & Now There Are Telling Me Another 180 Days When She Told Me It Would Be Back on My Funding Source By XXXX. 
* Please Read Text & See Attached E-Mails, Ect. Thank You Very Much & Any & All Help is Most Truly Appreciated - Thank You."
Checking or savings account,"On XX/XX/18, I opened a Capital One Money Market Savings account that had a bonus offer of XXXX after depositing a total of XXXX by XXXX XXXX.  I made 4 seperate deposits of : XXXX, XXXX, XXXX, XXXX, by XXXX XXXX.  The terms stated that the bonus would be posted by 60 days after the XXXX total had been met, and the bonus still has not been posted. When i contacted capital one, I was told the the XXXX had to be deposited at one time, which is not stated at all in the terms."
